ID,LicenceArea,GridSupplyPoint,Substation,SiteFunctionalLocation,Proposed_Connection_Voltage_kV,Status of Connection,Demand_Numbers_Received_Total_Number,Demand_Numbers_Received_Total_Capacity,Generation_Numbers_Received_Total_Number,Generation_Numbers_Received_Total_Capacity,Spatial Coordinates
17,Eastern Power Networks (EPN),Braintree,Braintree 132kV,EPN-S0000000C3013,132,"Connection offers made (cancelled, expired, superseded)",,,1,50,"51.8651165966756, 0.576208159481259"
19,Eastern Power Networks (EPN),Braintree,Braintree Depot Primary 11kV,EPN-S0000000H3014,11,Connection offers made (not yet accepted by customer),2.0,8.8,,,"51.8824042477402, 0.572372304518029"
37,Eastern Power Networks (EPN),Bramford,Brandon Primary 11kV,EPN-S0000000H1034,11,Connection offers made (not yet accepted by customer),1.0,1.2,,,"52.4469882311603, 0.594335889936824"
41,Eastern Power Networks (EPN),Bramford,Bury Grid 11kV,EPN-S0000000H1012,11,Connection offers made (not yet accepted by customer),2.0,4.6,,,"52.2397029827595, 0.722409751813484"
92,Eastern Power Networks (EPN),Bramford,Thetford Grid 33kV,EPN-S0000000H1056,33,Connection offers made (not yet accepted by customer),1.0,20.0,,,"52.3872190958013, 0.736478402750066"
105,Eastern Power Networks (EPN),Brimsdown,Cockfosters Primary 11kV,,11,Budget Estimates Provided,1.0,2.2,,,
125,Eastern Power Networks (EPN),Burwell,Exning Primary 11kV,EPN-S0000000H4028,11,Connection offers made (not yet accepted by customer),1.0,1.3,,,"52.2630006848979, 0.378869936663472"
166,Eastern Power Networks (EPN),Eaton Socon,Eaton Socon Grid 132kV,EPN-S0000000C4076,132,"Connection offers made (cancelled, expired, superseded)",,,1,99.8,"52.2147364575905, -0.301694937097924"
193,Eastern Power Networks (EPN),Elstree,Cell Barnes Primary 11kV,EPN-S0000000H8154,11,Budget Estimates Provided,2.0,15.0,,,"51.7449568993288, -0.312894402496118"
195,Eastern Power Networks (EPN),Elstree,Elstree GIS 132kV,EPN-S0000000C8245,132,Budget Estimates Provided,3.0,360.0,,,"51.6591401724472, -0.342180028458686"
239,Eastern Power Networks (EPN),Norwich,Attleborough Primary 11kV,EPN-S0000000H5063,11,Budget Estimates Provided,1.0,2.0,,,"52.5127748708014, 1.02374428979723"
243,Eastern Power Networks (EPN),Norwich,Caister Primary 11kV,EPN-S0000000H5029,11,Connection offers made (not yet accepted by customer),1.0,1.6,,,"52.6362246939816, 1.72899218500177"
245,Eastern Power Networks (EPN),Norwich,Cringleford Primary 11kV,EPN-S0000000H5075,11,Connection offers made (not yet accepted by customer),1.0,1.3,,,"52.6056121345765, 1.24344681403197"
247,Eastern Power Networks (EPN),Norwich,Earlham Grid 33kV,,33,Budget Estimates Provided,1.0,7.5,,,
275,Eastern Power Networks (EPN),Norwich,Scottow Primary 11kV,EPN-S0000000H5059,33,Budget Estimates Provided,,,1,5,"52.7639546306434, 1.35128488915742"
283,Eastern Power Networks (EPN),Norwich,West Beckham Primary 11kV,,33,Budget Estimates Provided,,,1,15,
298,Eastern Power Networks (EPN),Pelham,Hanger Lea Primary 11kV,EPN-S0000000H7110,11,Connection offers made (not yet accepted by customer),2.0,3.6,,,"51.8826131700358, 0.169887616403001"
318,Eastern Power Networks (EPN),Rayleigh,Kingswood Primary 11kV,EPN-S0000000H7099,11,Connection offers made (not yet accepted by customer),1.0,2.2,,,"51.5674367093621, 0.453044252537402"
328,Eastern Power Networks (EPN),Rayleigh,Rayleigh Main 132kV,EPN-S0000000C7130,132,Budget Estimates Provided,,,8,441,"51.5942853304779, 0.566379638723486"
329,Eastern Power Networks (EPN),Rayleigh,Rayleigh Main 132kV,EPN-S0000000C7130,132,"Connection offers made (cancelled, expired, superseded)",,,1,5.1,"51.5942853304779, 0.566379638723486"
340,Eastern Power Networks (EPN),Rye House,Epping Grid 33kV,EPN-S0000000D7064,33,Connection offers made (not yet accepted by customer),1.0,25.0,,,"51.7076219518458, 0.1189767440755"
360,Eastern Power Networks (EPN),Sundon,Arla Dairies Primary 11kV,EPN-S0000000H8049,11,Budget Estimates Provided,,,4,22,"51.8148792190328, -0.724937196192035"
397,Eastern Power Networks (EPN),Tilbury 1&7,Bata Primary 11kV,EPN-S0000000H7024,11,Budget Estimates Provided,1.0,2.0,1,1.4,"51.4828533656379, 0.414566324166197"
411,Eastern Power Networks (EPN),Tottenham,Bruce Gv Primary 11kV,EPN-S0000000H7086,11,Connection offers made (not yet accepted by customer),1.0,2.0,,,"51.5986179175394, -0.0760371122722799"
456,Eastern Power Networks (EPN),Walpole,Outwell Moors Primary 11kV,,11,"Connection offers made (cancelled, expired, superseded)",1.0,2.0,,,
477,Eastern Power Networks (EPN),Walpole,Whittlesey Primary 11kV,EPN-S0000000H6070,33,Budget Estimates Provided,,,2,24.4,"52.5506766817983, -0.134797847149669"
518,Eastern Power Networks (EPN),Willesden,Bee Primary 11kV,EPN-S0000000H8050,11,"Connection offers made (cancelled, expired, superseded)",2.0,3.9,,,"51.5592363151467, -0.27107272199345"
537,Eastern Power Networks (EPN),Wymondley,Warren Springs Primary 11kV,,11,Budget Estimates Provided,1.0,4.0,,,
568,London Power Networks (LPN),City Road,Bankside C 11kV,LPN-S000000000916,11,Connection offers made (not yet accepted by customer),3.0,8.9,,,"51.5076883210996, -0.0988197556324697"
620,London Power Networks (LPN),Lodge Road,Hyde Park Estate A 11kV,LPN-S000000000348,11,Connection offers made (not yet accepted by customer),1.0,1.0,,,"51.5161722923754, -0.167432586141222"
623,London Power Networks (LPN),Lodge Road,Lithos Rd A 11kV,LPN-S000000000252,11,Connection offers made (not yet accepted by customer),1.0,1.8,,,"51.5488064069183, -0.185982309384059"
640,London Power Networks (LPN),New Cross 66kV,South Bank 11kV,LPN-S000000000979,11,Budget Estimates Provided,1.0,6.1,,,"51.5058188057305, -0.114474517975939"
705,London Power Networks (LPN),Wimbledon 3&4 132kV,Gorringe Park 11kV,LPN-S000000001037,11,Budget Estimates Provided,1.0,2.5,,,"51.4114161262174, -0.156410405717846"
708,London Power Networks (LPN),Wimbledon 3&4 132kV,Lombard Rd B 11kV,LPN-S000000001040,11,Connection offers made (not yet accepted by customer),8.0,10.3,,,"51.4705616087648, -0.177194384934582"
718,South Eastern Power Networks (SPN),Beddington,Beddington 11kV,SPN-S000000009303,11,Connection offer made (accepted by customer),2.0,5.2,,,"51.3719861093954, -0.127104364067281"
734,South Eastern Power Networks (SPN),Bolney,Capel Switching Stn 33kV,,33,Connection offer made (accepted by customer),,,1,10.1,
736,South Eastern Power Networks (SPN),Bolney,Cranleigh 11kV,SPN-S000000008382,11,Connection offer made (not yet accepted by customer),2.0,3.28,,,"51.1511090372096, -0.504034443005657"
774,South Eastern Power Networks (SPN),Canterbury,Canterbury South 132kV,SPN-S000000009910,33,"Connection offer made (cancelled, expired, superseded)",,,1,9.6,"51.2903822205798, 1.08629855100767"
811,South Eastern Power Networks (SPN),Kemsley,Hartley Grid 33kV,SPN-S000000009122,33,Budget Estimates Provided,,,1,49.9,"51.0933573232757, 0.506617889066594"
822,South Eastern Power Networks (SPN),Kingsnorth,Rainham Mark 11kV,,11,Connection offer made (not yet accepted by customer),1.0,4.29,,,
824,South Eastern Power Networks (SPN),Kingsnorth,Strood 11kV,,11,Connection offer made (not yet accepted by customer),,,1,1,
831,South Eastern Power Networks (SPN),Laleham,Twickenham 11kV,SPN-S000000008352,11,Connection offer made (accepted by customer),1.0,1.5,,,"51.4476180721927, -0.340425920684922"
835,South Eastern Power Networks (SPN),Laleham,Laleham 132kV,,132,Budget Estimates Provided,1.0,100.0,,,
846,South Eastern Power Networks (SPN),Ninfield,Hartley Grid 33kV,SPN-S000000009122,33,Connection offer made (not yet accepted by customer),,,1,10.2,"51.0933573232757, 0.506617889066594"
851,South Eastern Power Networks (SPN),Ninfield,Ninfield Grid 33kV,SPN-S000000009136,33,Connection offer made (accepted by customer),,,,,"50.8816454089355, 0.450365711314911"
855,South Eastern Power Networks (SPN),Ninfield,Ruckinge 132kV,,33,"Connection offer made (cancelled, expired, superseded)",,,3,66.3,
858,South Eastern Power Networks (SPN),Ninfield,Hartley Grid 33kV,SPN-S000000009122,132,Budget Estimates Provided,,,1,99.9,"51.0933573232757, 0.506617889066594"
867,South Eastern Power Networks (SPN),Northfleet,Gravesend Town 6.6kV,SPN-S000000008409,11,Connection offer made (not yet accepted by customer),1.0,2.0,,,"51.4415090524139, 0.383920024603466"
878,South Eastern Power Networks (SPN),Northfleet,Tunbridge Wells Grid 11kV,SPN-S000000009351,11,Connection offer made (not yet accepted by customer),2.0,2.54,,,"51.1448264315983, 0.273589695249059"
29,Eastern Power Networks (EPN),Bramford,Barsham Primary 11kV,EPN-S0000000H5086,11,Connection offers made (not yet accepted by customer),1.0,1.3,,,"52.4532767001013, 1.54050733845233"
48,Eastern Power Networks (EPN),Bramford,Debenham Primary 11kV,,11,Budget Estimates Provided,1.0,2.5,,,
54,Eastern Power Networks (EPN),Bramford,Fore Hamlet Primary 11kV,EPN-S0000000H1045,11,Connection offers made (not yet accepted by customer),,,2,9.7,"52.0524483362074, 1.16906488753244"
96,Eastern Power Networks (EPN),Bramford,Warren Heath 11kV,EPN-S0000000H1009,11,Connection offers made (not yet accepted by customer),1.0,8.8,,,"52.0379058498408, 1.20095134894891"
98,Eastern Power Networks (EPN),Bramford,Water Ln Primary 11kV,EPN-S0000000H1021,11,Connection offers made (not yet accepted by customer),1.0,1.3,,,"52.4154043568626, 0.743753608578155"
109,Eastern Power Networks (EPN),Brimsdown,South Chingford Primary 11kV,EPN-S0000000H7019,11,Budget Estimates Provided,1.0,3.6,,,"51.6193492874587, -0.00938849076082086"
121,Eastern Power Networks (EPN),Burwell,Burwell Local Grid 33kV,EPN-S0000000D4033,33,Budget Estimates Provided,,,2,50,"52.2774898958568, 0.317253092352746"
148,Eastern Power Networks (EPN),Burwell,Milton Rd Primary 11kV,EPN-S0000000H4078,11,Connection offers made (not yet accepted by customer),3.0,19.7,,,"52.2296894150331, 0.146987205457097"
171,Eastern Power Networks (EPN),Eaton Socon,Huntingdon Grid 11kV,EPN-S0000000F4068,11,Budget Estimates Provided,1.0,4.0,,,"52.3407372864036, -0.183060686204365"
173,Eastern Power Networks (EPN),Eaton Socon,Huntingdon Grid 33kV,EPN-S0000000D4068,132,Budget Estimates Provided,,,1,75,"52.3407372864036, -0.183060686204365"
203,Eastern Power Networks (EPN),Elstree,Hemel East Primary 11kV,,11,Connection offers made (not yet accepted by customer),2.0,10.0,,,
228,Eastern Power Networks (EPN),Mill Hill,Colindale Grid 11kV,EPN-S0000000F8073,11,"Connection offers made (cancelled, expired, superseded)",4.0,14.9,,,"51.5923388863545, -0.255408189186246"
236,Eastern Power Networks (EPN),Mill Hill,North Finchley Primary 11kV,EPN-S0000000H8040,11,Budget Estimates Provided,1.0,2.0,,,"51.6158790310613, -0.181243677192809"
242,Eastern Power Networks (EPN),Norwich,Bradwell Primary 11kV,EPN-S0000000H5003,11,Connection offers made (not yet accepted by customer),4.0,6.8,,,"52.5551920087145, 1.71151379971712"
269,Eastern Power Networks (EPN),Norwich,Sall Grid 33kV,EPN-S0000000D5023,11,Connection offers made (not yet accepted by customer),,,1,5,"52.7731302289295, 1.15120280997115"
293,Eastern Power Networks (EPN),Pelham,Coopers End Primary 33kV,EPN-S0000000G7062,33,Connection offers made (not yet accepted by customer),1.0,18.3,,,"51.8848602738811, 0.256922843888867"
303,Eastern Power Networks (EPN),Pelham,Saffron Walden Primary 11kV,,11,Budget Estimates Provided,5.0,12.8,,,
326,Eastern Power Networks (EPN),Rayleigh,Nevendon Grid 33kV,EPN-S0000000D7017,33,Budget Estimates Provided,,,2,50,"51.5945902916807, 0.484526289220705"
365,Eastern Power Networks (EPN),Sundon,Brogborough Primary 11kV,EPN-S0000000H4061,11,Connection offers made (not yet accepted by customer),1.0,1.5,,,"52.0413941149378, -0.588910667443523"
366,Eastern Power Networks (EPN),Sundon,Buckingham Rd Primary 11kV,EPN-S0000000H8071,11,Connection offers made (not yet accepted by customer),2.0,4.2,,,"51.8331984751452, -0.818275557970287"
389,Eastern Power Networks (EPN),Sundon,Tring Primary 11kV,EPN-S0000000H8063,11,Connection offers made (not yet accepted by customer),1.0,3.0,,,"51.8003824667437, -0.666349701660406"
398,Eastern Power Networks (EPN),Tilbury 1&7,Bata Primary 11kV,EPN-S0000000H7024,11,Connection offers made (not yet accepted by customer),1.0,1.8,,,"51.4828533656379, 0.414566324166197"
444,Eastern Power Networks (EPN),Walpole,Kings Lynn Grid  33kV,EPN-S0000000D6046,33,"Connection offers made (cancelled, expired, superseded)",,,3,64.7,"52.7576600302301, 0.399591493869985"
447,Eastern Power Networks (EPN),Walpole,March Grid 33kV,,33,"Connection offers made (cancelled, expired, superseded)",,,1,28.7,
472,Eastern Power Networks (EPN),Walpole,Walsoken Grid 11kV,EPN-S0000000H6077,11,"Connection offers made (cancelled, expired, superseded)",1.0,1.5,,,"52.6607115379039, 0.19024815471233"
481,Eastern Power Networks (EPN),Warley,Harold Wood Primary 11kV,EPN-S0000000H7067,11,Connection offers made (not yet accepted by customer),1.0,1.5,,,"51.5998196971724, 0.238066785985992"
501,Eastern Power Networks (EPN),Watford South,Frogmore Primary 11kV,,11,Connection offers made (not yet accepted by customer),1.0,1.2,,,
554,London Power Networks (LPN),Barking West 33kV,Axe St 11kV,,11,Connection offers made (accepted by customer),1.0,5.0,1,2.5,
584,London Power Networks (LPN),City Road,Limeburner Ln 11kV,LPN-S000000000463,11,Budget Estimates Provided,1.0,2.5,,,"51.5148261005768, -0.103120189656031"
606,London Power Networks (LPN),Hackney 132kV,Kings Yard B 11kV,,11,Budget Estimates Provided,2.0,6.5,,,
675,London Power Networks (LPN),West Ham,Old School Close 11kV,LPN-S000000000771,11,Budget Estimates Provided,1.0,1.5,,,"51.4949792975668, 0.00710063938132778"
676,London Power Networks (LPN),West Ham,Old School Close 11kV,LPN-S000000000771,11,Connection offers made (not yet accepted by customer),3.0,6.6,,,"51.4949792975668, 0.00710063938132778"
702,London Power Networks (LPN),Wimbledon 3&4 132kV,Burlington Rd 11kV,,11,"Connection offers made (cancelled, expired, superseded)",1.0,2.3,,,
704,London Power Networks (LPN),Wimbledon 3&4 132kV,Durnsford Rd 11kV,LPN-S000000001027,11,Connection offers made (not yet accepted by customer),4.0,9.3,,,"51.4302890842008, -0.191457167996828"
710,London Power Networks (LPN),Wimbledon 3&4 132kV,Merton 11kV,LPN-S000000001059,11,Connection offers made (not yet accepted by customer),4.0,6.1,,,"51.4101517646396, -0.189519772997844"
719,South Eastern Power Networks (SPN),Beddington,Beddington 11kV,SPN-S000000009303,11,"Connection offer made (cancelled, expired, superseded)",1.0,1.5,,,"51.3719861093954, -0.127104364067281"
731,South Eastern Power Networks (SPN),Bolney,Brighton Town 11kV,SPN-S000000008307,11,Connection offer made (not yet accepted by customer),1.0,1.0,,,"50.8249300033946, -0.14134268577123"
744,South Eastern Power Networks (SPN),Bolney,Horsham Grid 11kV,SPN-S000000009324,11,Connection offer made (accepted by customer),1.0,1.25,,,"51.0629074689347, -0.321824140409602"
745,South Eastern Power Networks (SPN),Bolney,Horsham Grid 11kV,SPN-S000000009324,11,Connection offer made (not yet accepted by customer),1.0,1.8,,,"51.0629074689347, -0.321824140409602"
765,South Eastern Power Networks (SPN),Bolney,Southwick 11kV,,11,Connection offer made (not yet accepted by customer),2.0,2.0,,,
773,South Eastern Power Networks (SPN),Canterbury,Canterbury North 132kV,SPN-S000000009961,132,Connection offer made (accepted by customer),,,2,122.3,"51.2926877378814, 1.09470204093013"
778,South Eastern Power Networks (SPN),Canterbury,Faversham 11kV,SPN-S000000008405,11,Connection offer made (not yet accepted by customer),1.0,1.82,1,1,"51.3126157196458, 0.911552531759317"
804,South Eastern Power Networks (SPN),Kemsley,Sheerness 6.6kV,,6.6,Connection offer made (not yet accepted by customer),,,1,1,
836,South Eastern Power Networks (SPN),Laleham,Twickenham 11kV,SPN-S000000008352,11,Budget Estimates Provided,1.0,0.0,,,"51.4476180721927, -0.340425920684922"
865,South Eastern Power Networks (SPN),Northfleet,Gravesend South 11kV,,11,Connection offer made (not yet accepted by customer),1.0,3.8,,,
880,South Eastern Power Networks (SPN),Northfleet,Crossways 11KV,SPN-S000000008626,11,Budget Estimates Provided,,,1,10,"51.45127307568, 0.249850123222409"
889,South Eastern Power Networks (SPN),Richborough,Richborough 132kV,SPN-S000000009957,132,"Connection offer made (cancelled, expired, superseded)",1.0,400.0,1,51,"51.3088083682998, 1.34562649107573"
903,South Eastern Power Networks (SPN),Sellindge,Sellindge 132kV,SPN-S000000009962,132,Connection offer made (not yet accepted by customer),,,2,285.6,"51.1063321591089, 0.977459050642279"
703,London Power Networks (LPN),Wimbledon 3&4 132kV,Dukes Ave 11kV,LPN-S000000001025,11,Budget Estimates Provided,1.0,1.5,,,"51.4043906535647, -0.251916156301172"
724,South Eastern Power Networks (SPN),Beddington,Purley Local 11kV,SPN-S000000008341,11,Connection offer made (not yet accepted by customer),1.0,1.0,,,"51.3401270967876, -0.112121674562762"
749,South Eastern Power Networks (SPN),Bolney,Lewes 132kV,SPN-S000000009930,132,"Connection offer made (cancelled, expired, superseded)",,,1,101.9,"50.887026626275, 0.0413117260834207"
779,South Eastern Power Networks (SPN),Canterbury,Maidstone Grid North 11kV,SPN-S000000009532,11,Connection offer made (not yet accepted by customer),2.0,2.0,,,"51.2747667972431, 0.533544689283763"
800,South Eastern Power Networks (SPN),Kemsley,Grovehurst Local 11kV,SPN-S000000008585,11,"Connection offer made (cancelled, expired, superseded)",1.0,1.5,,,"51.3660454355275, 0.7537622694201"
810,South Eastern Power Networks (SPN),Kemsley,Sittingbourne West 11kV,SPN-S000000008444,11,Connection offer made (not yet accepted by customer),2.0,7.44,,,"51.3412853502412, 0.715243085981626"
826,South Eastern Power Networks (SPN),Kingsnorth,Kingsnorth Grid 132kV,SPN-S000000009976,132,Budget Estimates Provided,,,3,170,"51.4197964486026, 0.596060453884657"
839,South Eastern Power Networks (SPN),Littlebrook,Littlebrook Park 11kV,,11,Connection offer made (not yet accepted by customer),1.0,2.5,,,
874,South Eastern Power Networks (SPN),Northfleet,Paddock Wood 11kV,SPN-S000000008454,11,Connection offer made (not yet accepted by customer),1.0,4.6,,,"51.1774454877242, 0.392619520989536"
898,South Eastern Power Networks (SPN),Sellindge,Ashford East 11kV,SPN-S000000008402,11,Connection offer made (not yet accepted by customer),2.0,6.0,,,"51.1557116830767, 0.897683010752673"
907,South Eastern Power Networks (SPN),West Weybridge,Byfleet 11kV,SPN-S000000009309,11,Connection offer made (accepted by customer),1.0,6.0,,,"51.3396754394767, -0.50703539580967"
6,Eastern Power Networks (EPN),Amersham,Wendover Primary 11kV,EPN-S0000000H8046,11,Budget Estimates Provided,2.0,2.9,,,"51.7591797837155, -0.743603919196674"
16,Eastern Power Networks (EPN),Biggleswade,Biggleswade East 33kV,EPN-S0000000H4172,132,Connection offers made (not yet accepted by customer),1.0,200.0,,,
23,Eastern Power Networks (EPN),Braintree,West Braintree Primary 11kV,EPN-S0000000H3053,11,Connection offers made (not yet accepted by customer),1.0,1.6,,,"51.857471175924, 0.519827025455693"
39,Eastern Power Networks (EPN),Bramford,Bury Grid 11kV,EPN-S0000000H1012,11,Budget Estimates Provided,1.0,4.0,,,"52.2397029827595, 0.722409751813484"
60,Eastern Power Networks (EPN),Bramford,Hacheston Primary 11kV,EPN-S0000000H5017,11,Connection offers made (not yet accepted by customer),1.0,1.2,,,"52.1580954428407, 1.38056807729276"
83,Eastern Power Networks (EPN),Bramford,Stanton Primary 11kV,EPN-S0000000H1030,11,Budget Estimates Provided,3.0,17.7,1,3,"52.3235359453843, 0.86595500148954"
106,Eastern Power Networks (EPN),Brimsdown,Cockfosters Primary 11kV,,11,Connection offers made (not yet accepted by customer),1.0,2.2,,,
128,Eastern Power Networks (EPN),Burwell,Fulbourn Grid 33kV,,132,Budget Estimates Provided,1.0,40.0,,,
132,Eastern Power Networks (EPN),Burwell,Fulbourn Grid 33kV,,33,Connection offers made (not yet accepted by customer),,,1,0,
138,Eastern Power Networks (EPN),Burwell,Histon Primary 11kV,EPN-S0000000H4066,11,Connection offers made (not yet accepted by customer),2.0,5.3,,,"52.2438524986778, 0.106523770553321"
149,Eastern Power Networks (EPN),Burwell,Radnor Primary 11kV,EPN-S0000000H4011,11,Budget Estimates Provided,3.0,38.5,,,"52.1892767752753, 0.141703679326459"
167,Eastern Power Networks (EPN),Eaton Socon,Edison Rd Grid 11kV,EPN-S0000000F4039,11,Budget Estimates Provided,1.0,4.2,,,"52.1499445946593, -0.420771552305244"
170,Eastern Power Networks (EPN),Eaton Socon,Harrowden Primary 11kV,EPN-S0000000H4040,11,Connection offers made (not yet accepted by customer),1.0,1.6,,,"52.1192971820726, -0.453638240462025"
194,Eastern Power Networks (EPN),Elstree,Cell Barnes Primary 11kV,EPN-S0000000H8154,11,Connection offers made (accepted by customer),1.0,1.5,,,"51.7449568993288, -0.312894402496118"
205,Eastern Power Networks (EPN),Elstree,Industrial Primary 11kV,EPN-S0000000H8140,11,Connection offers made (not yet accepted by customer),3.0,8.5,,,"51.7640284851224, -0.437099345235418"
210,Eastern Power Networks (EPN),Elstree,Piccotts End Grid 33kV,,33,Budget Estimates Provided,2.0,55.0,,,
212,Eastern Power Networks (EPN),Elstree,Tunnel Primary 11kV,EPN-S0000000H8104,11,Budget Estimates Provided,4.0,8.7,,,"51.7651303357817, -0.239016222977169"
227,Eastern Power Networks (EPN),Mill Hill,Colindale Grid 11kV,EPN-S0000000F8073,11,Connection offers made (accepted by customer),2.0,12.1,,,"51.5923388863545, -0.255408189186246"
253,Eastern Power Networks (EPN),Norwich,Gorleston Grid 33kV,EPN-S0000000D5066,33,Connection offers made (not yet accepted by customer),1.0,14.0,,,"52.5668164479376, 1.70510092036558"
255,Eastern Power Networks (EPN),Norwich,GT Yarmouth Grid 11kV,EPN-S0000000H5067,11,Connection offers made (not yet accepted by customer),2.0,2.9,1,5,"52.5916026624618, 1.73095825038195"
257,Eastern Power Networks (EPN),Norwich,Hapton Primary 11kV,EPN-S0000000H5079,11,Connection offers made (not yet accepted by customer),3.0,9.5,,,"52.5210806354643, 1.21151309264698"
258,Eastern Power Networks (EPN),Norwich,Lowestoft Grid 11kV,EPN-S0000000H5056,11,Connection offers made (not yet accepted by customer),1.0,1.2,,,"52.4787216662553, 1.7393627127201"
266,Eastern Power Networks (EPN),Norwich,Norwich Main 132kV,EPN-S0000000C5012,132,Connection offers made (not yet accepted by customer),,,2,740,"52.5740279616305, 1.27181803305154"
273,Eastern Power Networks (EPN),Norwich,Scottow Primary 11kV,EPN-S0000000H5059,11,"Connection offers made (cancelled, expired, superseded)",2.0,10.5,,,"52.7639546306434, 1.35128488915742"
284,Eastern Power Networks (EPN),Norwich,Wymondham Primary 11kV,,11,Budget Estimates Provided,2.0,4.0,,,
299,Eastern Power Networks (EPN),Pelham,Haverhill Primary 11kV,,11,Connection offers made (not yet accepted by customer),1.0,2.2,,,
306,Eastern Power Networks (EPN),Pelham,Thaxted Grid 33kV,EPN-S0000000D3051,33,Connection offers made (accepted by customer),,,1,10.9,"51.9655875581503, 0.360450203279172"
331,Eastern Power Networks (EPN),Rayleigh,South Chelmsford Primary 11kV,,11,Budget Estimates Provided,1.0,1.5,,,
339,Eastern Power Networks (EPN),Rye House,East Hertford Primary 11kV,,11,Connection offers made (not yet accepted by customer),1.0,1.4,,,
341,Eastern Power Networks (EPN),Rye House,Glaxo Primary 11kV,EPN-S0000000H7147,11,Connection offers made (not yet accepted by customer),3.0,6.9,,,"51.8110498843781, -0.0464321708018063"
345,Eastern Power Networks (EPN),Rye House,Harlow West Grid 33kV,EPN-S0000000H7148,33,Budget Estimates Provided,1.0,20.0,,,"51.7637540094441, 0.0664180955934256"
356,Eastern Power Networks (EPN),Rye House,West Hertford Primary 11kV,,11,Connection offers made (not yet accepted by customer),1.0,1.0,,,
358,Eastern Power Networks (EPN),Sundon,Ampthill Primary 11kV,EPN-S0000000H4034,11,"Connection offers made (cancelled, expired, superseded)",1.0,1.2,,,"52.0161458337469, -0.479027055786056"
359,Eastern Power Networks (EPN),Sundon,Ampthill Primary 11kV,EPN-S0000000H4034,11,Connection offers made (not yet accepted by customer),1.0,1.5,,,"52.0161458337469, -0.479027055786056"
364,Eastern Power Networks (EPN),Sundon,Brogborough Primary 11kV,EPN-S0000000H4061,11,Budget Estimates Provided,1.0,1.5,,,"52.0413941149378, -0.588910667443523"
368,Eastern Power Networks (EPN),Sundon,Capability Green Primary 11kV,,11,Budget Estimates Provided,3.0,20.0,,,
370,Eastern Power Networks (EPN),Sundon,Exchange St Primary 11kV,EPN-S0000000H8134,11,Connection offers made (not yet accepted by customer),3.0,13.8,,,"51.8151557378537, -0.806996714262566"
377,Eastern Power Networks (EPN),Sundon,Luton St Marys Primary 11kV,EPN-S0000000H8015,11,Budget Estimates Provided,1.0,3.0,,,"51.8790843403445, -0.407397767829372"
378,Eastern Power Networks (EPN),Sundon,Marston Rd Grid 33kV,EPN-S0000000D4022,33,Budget Estimates Provided,,,1,30,"52.0786249846535, -0.534225220770837"
379,Eastern Power Networks (EPN),Sundon,Marston Rd Grid 33kV,EPN-S0000000D4022,33,"Connection offers made (cancelled, expired, superseded)",1.0,34.0,,,"52.0786249846535, -0.534225220770837"
394,Eastern Power Networks (EPN),Tilbury 1&7,Basildon Grid 33kV,EPN-S0000000D7002,33,Connection offers made (accepted by customer),,,1,10,"51.5659158377634, 0.391245704650906"
405,Eastern Power Networks (EPN),Tilbury 1&7,Tilbury Compact Grid 33kV,EPN-S0000000D7157,33,Budget Estimates Provided,3.0,45.0,,,"51.4616445382479, 0.379959301231353"
407,Eastern Power Networks (EPN),Tilbury 1&7,Tilbury Local Primary 11kV,EPN-S0000000H7117,11,Connection offers made (not yet accepted by customer),1.0,2.3,,,"51.4613613691232, 0.380174914271063"
422,Eastern Power Networks (EPN),Tottenham,Tottenham Grid 11kV,EPN-S0000000F7021,11,"Connection offers made (cancelled, expired, superseded)",1.0,12.5,,,"51.6042917650286, -0.0476950548666127"
425,Eastern Power Networks (EPN),Tottenham,Watsons Rd Primary 11kV,EPN-S0000000H7160,11,"Connection offers made (cancelled, expired, superseded)",1.0,1.2,,,"51.5981687089704, -0.112615667177853"
435,Eastern Power Networks (EPN),Walpole,Farcet Primary 11kV,EPN-S0000000H6017,11,Connection offers made (not yet accepted by customer),2.0,4.3,,,"52.5367083923244, -0.234107584000454"
468,Eastern Power Networks (EPN),Walpole,Walpole GIS 132kV,EPN-S0000000C6047,132,Connection offers made (accepted by customer),,,1,249.9,"52.7270572195836, 0.200532896725508"
487,Eastern Power Networks (EPN),Warley,Little Belhus Primary 11kV,EPN-S0000000H7153,11,Connection offers made (not yet accepted by customer),1.0,1.1,,,"51.5137737420582, 0.290316289695831"
489,Eastern Power Networks (EPN),Warley,Noak Hill Primary 11kV,EPN-S0000000H7018,11,Budget Estimates Provided,1.0,1.9,,,"51.6093940021589, 0.208322486451367"
511,Eastern Power Networks (EPN),Watford South,South Ruislip Primary 11kV,EPN-S0000000H8147,11,Connection offers made (not yet accepted by customer),2.0,2.7,,,"51.5559078026622, -0.392413815337398"
531,Eastern Power Networks (EPN),Wymondley,Royston Primary 11kV,EPN-S0000000H7031,11,"Connection offers made (cancelled, expired, superseded)",1.0,1.5,,,"52.0523002712469, -0.0218071435024984"
543,Eastern Power Networks (EPN),Wymondley,Wymondley Grid 33kV,,33,Budget Estimates Provided,,,2,18,
550,London Power Networks (LPN),Barking C 132kV,Nelson St 11kV,LPN-S000000000664,11,Connection offers made (not yet accepted by customer),1.0,5.0,,,"51.5323619330958, 0.056930913265542"
